aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,Centre,,,240,,0,,,1376.939941,-124.5676667,49.20373299,385807.369,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,Centre,,no,365,345,0,1380,,1552.52002,-124.5714063,49.20964315,385548.621,5451949.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,Centre,,,415,,0,,,1549.069946,-124.5725777,49.2107934,385465.967,5452079.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,Centre,,,320,,0,,,1332.550049,-124.5571025,49.1991623,386566.412,5450763.019
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,Centre,,no,308,290,0,1320,,1332.550049,-124.5571025,49.1991623,386566.412,5450763.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,Centre,,no,245,215,0,930,,1244.339966,-124.5537771,49.20333944,386818.185,5451222.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,Centre,,,248,,0,,,1523.02002,-124.5728909,49.2124938,385447.085,5452268.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,Centre,,,248,,0,,,1523.02002,-124.5728909,49.2124938,385447.085,5452268.778
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,Centre,,,250,,0,,,1242.030029,-124.5526971,49.20319333,386896.521,5451204.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,E,2.5,,230,,0,,,1377.790039,-124.5676667,49.20373299,385809.869,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,E,2.5,,425,,0,,,1551.959961,-124.5714063,49.20964315,385551.121,5451949.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,E,2.5,,340,,0,,,1549.560059,-124.5725777,49.2107934,385468.467,5452079.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,E,2.5,,270,,0,,,1333,-124.5571025,49.1991623,386568.912,5450763.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,E,2.5,,235,,0,,,1245.079956,-124.5537771,49.20333944,386820.685,5451222.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,2.5,,280,,0,,,1522.76001,-124.5728909,49.2124938,385449.585,5452268.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,2.5,,280,,0,,,1522.76001,-124.5728909,49.2124938,385449.585,5452268.778
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,E,2.5,,270,,0,,,1241.550049,-124.5526971,49.20319333,386899.021,5451204.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,E,5,,275,,0,,,1378.939941,-124.5676667,49.20373299,385812.369,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,E,5,,370,,0,,,1551.640015,-124.5714063,49.20964315,385553.621,5451949.644
