aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing,geometry,canopy_height,canopy_density,canopy_cover,aspect,SD_lidar,slope,field - lidar,aspect_cardinal,cover_type
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,Centre,,,240,,0,,,1377.0230712890625,-124.5676667,49.20373299,385807.369,5451287.001,POINT (385807.369 5451287.001),5,75.0,75.0,236.84164428710938,245.0,18.81848907470703,-5.0,Southwest,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,Centre,,no,365,345.0,0,1380.0,,1552.653076171875,-124.5714063,49.20964315,385548.621,5451949.644,POINT (385548.621 5451949.644),2,50.0,60.0,148.04981994628906,343.0,12.309930801391602,22.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,Centre,,,415,,0,,,1549.4271240234375,-124.5725777,49.2107934,385465.967,5452079.282,POINT (385465.967 5452079.282),0,0.0,0.0,307.0776672363281,409.0,12.186086654663086,6.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,Centre,,,320,,0,,,1332.6580810546875,-124.5571025,49.1991623,386566.412,5450763.019,POINT (386566.412 5450763.019),0,0.0,0.0,314.52056884765625,302.0,8.841564178466797,18.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,Centre,,no,308,290.0,0,1320.0,,1332.6580810546875,-124.5571025,49.1991623,386566.412,5450763.019,POINT (386566.412 5450763.019),0,0.0,0.0,314.52056884765625,302.0,8.841564178466797,6.0,Northwest,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,Centre,,no,245,215.0,0,930.0,,1244.5120849609375,-124.5537771,49.20333944,386818.185,5451222.384,POINT (386818.185 5451222.384),0,0.0,0.0,305.8909912109375,249.0,16.3206787109375,-4.0,Northwest,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,Centre,,,248,,0,,,1522.8880615234375,-124.5728909,49.2124938,385447.085,5452268.778,POINT (385447.085 5452268.778),0,0.0,0.0,99.51960754394531,299.0,3.8967325687408447,-51.0,East,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,Centre,,,248,,0,,,1522.8880615234375,-124.5728909,49.2124938,385447.085,5452268.778,POINT (385447.085 5452268.778),0,0.0,0.0,99.51960754394531,299.0,3.8967325687408447,-51.0,East,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,Centre,,,250,,0,,,1242.110107421875,-124.5526971,49.20319333,386896.521,5451204.528,POINT (386896.521 5451204.528),11,73.69999694824219,100.0,71.88238525390625,263.0,8.581822395324707,-13.0,East,under canopy
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,E,2.5,,230,,0,,,1377.7091064453125,-124.5676667,49.20373299,385809.869,5451287.001,POINT (385809.869 5451287.001),0,0.0,0.0,257.13604736328125,267.0,24.00801658630371,-37.0,West,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,E,2.5,,425,,0,,,1552.2470703125,-124.5714063,49.20964315,385551.121,5451949.644,POINT (385551.121 5451949.644),3,12.5,25.0,148.20330810546875,385.0,15.230015754699707,40.0,Southeast,sparse trees
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,E,2.5,,340,,0,,,1550.01806640625,-124.5725777,49.2107934,385468.467,5452079.282,POINT (385468.467 5452079.282),0,0.0,0.0,315.6584167480469,369.0,22.51418113708496,-29.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,E,2.5,,270,,0,,,1332.8770751953125,-124.5571025,49.1991623,386568.912,5450763.019,POINT (386568.912 5450763.019),4,37.5,25.0,339.8559875488281,272.0,15.581229209899902,-2.0,North,sparse trees
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,E,2.5,,235,,0,,,1245.0390625,-124.5537771,49.20333944,386820.685,5451222.384,POINT (386820.685 5451222.384),13,94.30000305175781,100.0,308.2918395996094,221.0,20.76032257080078,14.0,Northwest,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,2.5,,280,,0,,,1522.7861328125,-124.5728909,49.2124938,385449.585,5452268.778,POINT (385449.585 5452268.778),0,0.0,0.0,98.570556640625,304.0,2.40205979347229,-24.0,East,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,2.5,,280,,0,,,1522.7861328125,-124.5728909,49.2124938,385449.585,5452268.778,POINT (385449.585 5452268.778),0,0.0,0.0,98.570556640625,304.0,2.40205979347229,-24.0,East,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,E,2.5,,270,,0,,,1241.1630859375,-124.5526971,49.20319333,386899.021,5451204.528,POINT (386899.021 5451204.528),0,0.0,0.0,105.52490234375,287.0,15.754823684692383,-17.0,East,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,E,5.0,,275,,0,,,1379.010009765625,-124.5676667,49.20373299,385812.369,5451287.001,POINT (385812.369 5451287.001),0,0.0,0.0,277.2259826660156,274.0,15.434761047363281,1.0,West,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,E,5.0,,370,,0,,,1552.0001220703125,-124.5714063,49.20964315,385553.621,5451949.644,POINT (385553.621 5451949.644),2,11.100000381469727,0.0,144.8870391845703,377.0,11.257352828979492,-7.0,Southeast,open
